"filename", "language", "TXT", "XSL", "C++", "CSV", "Shell Script", "comment", "blank", "total"
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\RoomReservationSystem\globalFile.h", "C++", 0, 0, -5, 0, 0, -5, 0, -10
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\RoomReservationSystem\identity.h", "C++", 0, 0, -14, 0, 0, 0, 0, -14
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\RoomReservationSystem\orderReserve.cpp", "C++", 0, 0, -66, 0, 0, -14, 0, -80
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\RoomReservationSystem\orderReserve.h", "C++", 0, 0, -17, 0, 0, -4, -1, -22
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\RoomReservationSystem\student.cpp", "C++", 0, 0, -373, 0, 0, -18, -3, -394
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\RoomReservationSystem\student.h", "C++", 0, 0, -27, 0, 0, -3, 0, -30
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\RoomReservationSystem\teacher.cpp", "C++", 0, 0, -196, 0, 0, -2, -3, -201
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\RoomReservationSystem\teacher.h", "C++", 0, 0, -19, 0, 0, -2, -1, -22
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\STLStudy\Case1.cpp", "C++", 0, 0, 0, 0, 0, -118, -1, -119
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\STLStudy\ObjectFunction.cpp", "C++", 0, 0, 0, 0, 0, -75, 0, -75
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\STLStudy\STLCase.cpp", "C++", 0, 0, 0, 0, 0, -90, -1, -91
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\STLStudy\STL_first.cpp", "C++", 0, 0, 0, 0, 0, -68, 0, -68
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\STLStudy\StringLearnig.cpp", "C++", 0, 0, -174, 0, 0, -39, -2, -215
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\STLStudy\commen.hpp", "C++", 0, 0, 0, 0, 0, -17, 0, -17
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\STLStudy\dequeLearning.cpp", "C++", 0, 0, 0, 0, 0, -160, -2, -162
"c:\Users\Administrator\Desktop\project-C++\CPPlearning\STLStudy\insightFuncOBJ.cpp", "C++", 0, 0, 0, 0, 0, -72, -1, -73
